Gene,Intercept_coef,Intercept_pval,Organ_SP_coef,Organ_SP_pval,IL17_coef,IL17_pval,Organ_SP:IL17_coef,Organ_SP:IL17_pval,EPO_coef,EPO_pval,Organ_SP:EPO_coef,Organ_SP:EPO_pval,IL17:EPO_coef,IL17:EPO_pval,Organ_SP:IL17:EPO_coef,Organ_SP:IL17:EPO_pval,Organ_SP_fold_change,IL17_fold_change,EPO_fold_change,model_0_lrt_stat,model_0_lrt_pval,model_1_lrt_stat,model_1_lrt_pval,model_2_lrt_stat,model_2_lrt_pval,model_3_lrt_stat,model_3_lrt_pval,model_4_lrt_stat,model_4_lrt_pval,model_5_lrt_stat,model_5_lrt_pval,model_6_lrt_stat,model_6_lrt_pval,model_0_lrt_pval_corrected,model_1_lrt_pval_corrected,model_2_lrt_pval_corrected,model_3_lrt_pval_corrected,model_4_lrt_pval_corrected,model_5_lrt_pval_corrected,model_6_lrt_pval_corrected,Significant_In_Any_Model,Significance_Type,Significant_In_Models,Number_of_Models_Significant,Cellstate
Creb1,3.0520697204987752,3.3841870607876388e-102,0.5351185631036368,0.0074381076686373,0.5441023738463411,0.0105889158786165,-0.6845550259200335,0.0156704342534179,-0.0187653991439233,0.9218254514102928,-0.7485730649291804,0.0070675290909356,-0.6936011700246721,0.0122850686246388,1.461671721286413,0.0002021011617578,1.7076506946185657,1.7230610233664496,0.9814095747641244,17.47946529329056,0.0015592989053657,13.960135069044554,0.000930240377744,27.039622569689527,1.951558321229614e-05,16.961257404017488,0.0019667397249212,13.845389165728191,0.0009851717338882,13.81982699668697,0.000201201765225,13.828955133083582,0.0009933002564712,0.022554080649065,0.0151404016315364,0.0006391172430591,0.0268901018329214,0.0158278814804947,0.0043848591165154,0.0159391962460368,True,Shared,"Epo, Organ, IL-17, Epo triple interaction",2,EEP
Mfsd7b,1.2778314278589014,8.425723512232085e-26,-0.1991866764602501,0.2442794413305875,-0.3214102208797103,0.0776390472437326,0.7781472481845237,0.0013262048211659,-0.3326082882385259,0.042072479968991,0.030555436188117,0.8977557367487248,0.2641465379558576,0.2651076208918658,-0.2565326010062013,0.4458973442332984,0.81939691693883,0.7251257282551491,0.7170510164681344,18.32989413011819,0.0010637000607852,15.300911263657326,0.0004758272775712,10.547467191418946,0.0321493852921601,18.246988101458555,0.001104198899759,1.247965381798167,0.535806231911331,0.5835326563546914,0.4449309542847518,0.9207642237533946,0.6310424706092439,0.016796638756278,0.0089039223691345,0.1960622627279951,0.0172832846214698,0.8013318277971039,0.747104765243361,0.850192922697962,True,Unique,Organ and IL-17 interaction,1,EEP
Dph6,3.1749921353507533,1.094054644314764e-105,-0.1915701827145855,0.3487590386038702,0.0770109032800323,0.7235164504547542,0.1852319154251625,0.522557550810403,-0.159728247236481,0.4140281581514158,-0.3053561611267414,0.2826098022874066,-0.2839033721953594,0.3162494861454239,0.9413208556229686,0.0192628858335874,0.8256616758952465,1.0800538524580048,0.8523753928638528,17.405463242641417,0.001611928219056,16.708568442401884,0.0002353859098337,11.40162913727545,0.0224024383256389,22.073814584535285,0.0001937523511577,6.322993017000044,0.0423622980816984,5.493384421287374,0.0190885571845061,6.164181881647892,0.0458632589607966,0.0231317183821029,0.0049820371346324,0.1556873249225133,0.0042582143276455,0.2318494613442853,0.1395666415541537,0.2427468691452466,True,Shared,"Organ and IL-17 interaction, IL-17",2,EEP
Lamp2,2.404368921478782,5.521891763537082e-62,0.6946658713683218,0.0006402102712287,0.4944306746345443,0.0224819126833629,-1.0340599768846936,0.0003350289942422,-0.2635333184005642,0.1756982569526222,-0.5063661640304024,0.0734040857356301,-0.4888195745331959,0.0829499525534317,1.3914952709427442,0.0005085114671959,2.0030396892065485,1.6395645276155877,0.7683320224186657,23.023700447784904,0.0001252531071455,14.526549395576694,0.0007008093351062,29.85168515395162,5.246761820017242e-06,16.213535823030725,0.0027456153775739,13.107957739071026,0.0014244366602903,12.097257119264214,0.0005049605049856,12.98069628698886,0.001518020427126,0.0029683211152598,0.0121388114183698,0.0002143225296544,0.0346218095952402,0.0209825543520415,0.0093560067167284,0.0220630502217981,True,Shared,"Organ, Epo, Organ, IL-17, Epo triple interaction",3,EEP
Rnf38,1.7267276472389987,1.275101840708616e-34,0.3662488831539661,0.064116557585632,0.1217899165247921,0.5631301400957738,0.1006617846168328,0.7195099020690261,-0.0559456594020001,0.7674758633184725,-0.8526043284003113,0.0019314401561538,-0.2233211513769458,0.4152235581742113,0.9658344439125996,0.0130732379151008,1.4423141656862812,1.1295167840416267,0.9455905184485396,24.62675104203754,5.979393563867636e-05,15.73616633389247,0.0003827673605865,23.5096911300825,0.000100140703961,24.16965402718415,7.385744822802331e-05,7.905062161777096,0.0192060281920818,6.175883905480987,0.0129503196492177,9.799403692240048,0.0074488036295771,0.0016283297500039,0.0074806661071718,0.0024664114527466,0.0019262585708912,0.1400173606488535,0.1071970188521553,0.072343204008796,True,Shared,"Organ, Organ and IL-17 interaction, Epo, IL-17",4,EEP
Zfp865,1.0084600516405129,3.5514910244822363e-16,0.0762027180391572,0.6612653198149312,0.2799921416757818,0.1305230882430264,0.2143501501640781,0.3843829279856803,0.2963701697402571,0.074794616450348,-0.5439018014785252,0.0244537211069923,-0.81631381165778,0.000704980307205,0.7249894351437665,0.0340856338467186,1.0791813215059087,1.3231194147952423,1.344967931125597,18.613711342981333,0.0009358583779962,16.41954758029442,0.0002719822393936,18.11851088675576,0.0011699874075151,28.5201277428514,9.78338851467558e-06,11.631514156721096,0.0029802232106698,4.504657132751163,0.0338026723960977,5.637732920929011,0.0596735467102156,0.0152088103532548,0.0056283717378144,0.0180692451772709,0.0003619132261601,0.0367367193709754,0.2021310084319782,0.2828178807707709,True,Shared,"Organ and IL-17 interaction, IL-17",2,EEP
Aldh16a1,1.8035327789342808,2.996940260571125e-38,-0.3323841279790114,0.0900741030200031,-0.157126968465943,0.4517249444299496,0.9074054068896008,0.0010917275849712,-0.0715868577562142,0.7026978123233671,0.004309420489519,0.9873860685001292,0.0476208108591361,0.8608704058851065,-0.3357512992466964,0.3841125619667156,0.7172117688265431,0.8545955452435485,0.930915416858888,16.067285551792338,0.0029301927251018,15.231655477600723,0.0004925927753239,3.810246369786,0.4322948540432177,22.830469854647163,0.0001368930511308,1.1424031106917028,0.5648463366565014,0.7606854230461977,0.383114106360902,1.4803353430643256,0.4770339238061569,0.0362446968954195,0.0091584280192,0.7388003203210265,0.0032018165515189,0.816815449700801,0.704063914135019,0.766760969033001,True,Shared,"Organ and IL-17 interaction, IL-17",2,EEP
Msl2,2.716268934909784,8.639497541331392e-82,0.7256706508289416,0.0002728046728655,0.5630411498819823,0.0079931622485314,-0.9229781993628724,0.0010858870523255,-0.1349540395648881,0.4791153191403386,-0.8913734270881697,0.0012977256608803,-0.5174215505747799,0.0610563747946561,1.3856884761657864,0.0004107847062445,2.066116278023709,1.7560046616050522,0.8737560689743159,17.341060907318024,0.0016591542571359,13.57651588110457,0.0011269302446593,37.65211184498549,1.321855930087006e-07,16.867458286385954,0.0020509797576366,13.243958735531123,0.0013307942057817,12.49461795955358,0.0004081260841159,13.52728569874671,0.0011550139589928,0.0236438908654703,0.0175628857495652,9.099762648447994e-06,0.0277507408566548,0.0198992345837916,0.0078881661821558,0.0178774131912759,True,Shared,"Epo, Organ, IL-17, Epo triple interaction",2,EEP
Khsrp,3.777662685132169,1.1725728804128791e-211,0.5415063604662723,0.001548156106115,0.7464687812285207,4.1626409358955415e-05,-0.5768198618183183,0.0173246714016306,0.4156989726572439,0.0110629121802148,-0.7368092083020825,0.0019440468023414,-0.9926820131776858,2.812695121803845e-05,1.334816389293951,7.29496892262492e-05,1.7185937349741955,2.10953760986456,1.5154296144515145,23.04827612909139,0.0001238449426741,16.205055035015903,0.000302772906333,21.224090507355868,0.0002858617343486,28.77157555886879,8.698642598929465e-06,19.5723441775217,5.622370522951451e-05,15.734015297860424,7.290135093256976e-05,15.90826107018438,0.0003512084854847,0.0029421831917754,0.0061755331502344,0.0058751965248834,0.0003287352913466,0.0015470852323462,0.0019046237320206,0.0069821080472784,True,Shared,"Organ, Organ and IL-17 interaction, Epo, IL-17, IL-17 and Epo dual interaction, Organ, IL-17, Epo triple interaction, Organ and Epo interaction",7,EEP
Cep192,2.95825674522546,3.244631066774312e-93,0.1402944331945834,0.4896954760475606,0.2124992946744965,0.3257626634018596,-0.0729718296758072,0.7998205521966544,-0.1541379511824983,0.4274795296117277,-0.3657780617331482,0.1950796170548949,-0.5254431456831528,0.0618659097844455,1.1455495796435533,0.0041407394324779,1.150612527510503,1.2367652412429109,0.857153767479231,20.585562218729137,0.0003825629176369,15.0448968685605,0.0005408068135579,18.46102679980868,0.0010026200699004,17.518008740893492,0.0015325626862083,8.28463760690829,0.0158859723157628,8.238673413109609,0.0041007093035748,9.303169445304777,0.0095464614432762,0.0074793861792472,0.0099007121830996,0.0160428111424513,0.0222400413111617,0.1235815455278277,0.0467712096602821,0.0862828106157877,True,Shared,"Organ, Organ and IL-17 interaction",2,EEP
